duplicate_group_id,render_id,suno_song_id,drive_file_id,original_filename,drive_url,drive_created_time,file_size_bytes,sha256,is_primary_in_register
DUP-001,REND-029,569b99cf-d0b2-4624-9086-63339dcc988b,11T3mJnb97VivI0pLA0PA1XOuJoH4KK52,Circle Stays Tight (All The Way Up Remix) (3).mp3,https://drive.google.com/file/d/11T3mJnb97VivI0pLA0PA1XOuJoH4KK52/view?usp=drivesdk,2026-08-06T21:02:41.382Z,4626600,3a48bbf06f60bdd1d10004d96e796e9a96d3b7650adb4eb637c18e048bc92c69,yes
DUP-001,REND-029,569b99cf-d0b2-4624-9086-63339dcc988b,1rjRdu-5sJmcNAyiAk4qPejxezKCbRVTT,Circle Stays Tight (All The Way Up Remix) (1).mp3,https://drive.google.com/file/d/1rjRdu-5sJmcNAyiAk4qPejxezKCbRVTT/view?usp=drivesdk,2026-08-06T21:02:45.747Z,4626600,3a48bbf06f60bdd1d10004d96e796e9a96d3b7650adb4eb637c18e048bc92c69,no
DUP-002,REND-030,580bc641-92af-434f-a20e-b3d8dc2cd955,1SEVs8rMk5w1GqyimWEDzbsBalqh-AxFE,Circle Stays Tight (All The Way Up Remix) (2).mp3,https://drive.google.com/file/d/1SEVs8rMk5w1GqyimWEDzbsBalqh-AxFE/view?usp=drivesdk,2026-08-06T21:02:43.614Z,4591684,7761c6b2d0d47d66929a8eb57b7ed3ad3ce7fab343e0d8e279280dc87309f7b2,yes
DUP-002,REND-030,580bc641-92af-434f-a20e-b3d8dc2cd955,1kSIBt8jBuRRp_HZT_5wqbsbMEWfNCxjB,Circle Stays Tight (All The Way Up Remix).mp3,https://drive.google.com/file/d/1kSIBt8jBuRRp_HZT_5wqbsbMEWfNCxjB/view?usp=drivesdk,2026-08-06T21:02:47.777Z,4591684,7761c6b2d0d47d66929a8eb57b7ed3ad3ce7fab343e0d8e279280dc87309f7b2,no
DUP-003,REND-020,c7ba4307-8d3d-463b-bf57-fe786974fced,1VdiReFAiaitfKjVAaiEsPuNgGsqNDKir,I Keep My Circle Tight (2).mp3,https://drive.google.com/file/d/1VdiReFAiaitfKjVAaiEsPuNgGsqNDKir/view?usp=drivesdk,2026-08-06T21:02:19.289Z,4353924,c71c5ecbc30ff08d7ec4a1565ae03f52a939488adbf10e4dcb76b655b6d7e17a,yes
DUP-003,REND-020,c7ba4307-8d3d-463b-bf57-fe786974fced,10zKXUs9062BJY3_GzEr9kBQiYf9ytQSu,I Keep My Circle Tight.mp3,https://drive.google.com/file/d/10zKXUs9062BJY3_GzEr9kBQiYf9ytQSu/view?usp=drivesdk,2026-08-06T21:02:49.986Z,4353924,c71c5ecbc30ff08d7ec4a1565ae03f52a939488adbf10e4dcb76b655b6d7e17a,no
