sibling_pair_id,render_id_a,render_id_b,title_a,title_b,created_at_utc_a,created_at_utc_b,delta_seconds,match_basis,confidence,evidence_status,notes
SIB-001,REND-002,REND-003,Gypsy Strings With The Trap,Gypsy Strings With The Trap,2026-07-28T23:36:20.804270+00:00,2026-07-28T23:36:20.804353+00:00,8.3e-05,normalized_title_and_timestamp_within_threshold,high,inferred,"Titles match after normalization and creation timestamps are within 2.0s of each other -- consistent with a Suno same-prompt A/B generation, but this is inferred, not confirmed by any explicit Suno sibling/variation identifier."
SIB-002,REND-006,REND-007,Mi Barrio,Mi Barrio,2026-07-29T04:03:33.431375+00:00,2026-07-29T04:03:33.431451+00:00,7.6e-05,normalized_title_and_timestamp_within_threshold,high,inferred,"Titles match after normalization and creation timestamps are within 2.0s of each other -- consistent with a Suno same-prompt A/B generation, but this is inferred, not confirmed by any explicit Suno sibling/variation identifier."
SIB-003,REND-011,REND-012,Barcelona Nights,Barcelona Nights,2026-07-30T02:41:41.727241+00:00,2026-07-30T02:41:41.727322+00:00,8.1e-05,normalized_title_and_timestamp_within_threshold,high,inferred,"Titles match after normalization and creation timestamps are within 2.0s of each other -- consistent with a Suno same-prompt A/B generation, but this is inferred, not confirmed by any explicit Suno sibling/variation identifier."
SIB-004,REND-013,REND-014,Fusion rap,Fusion rap,2026-07-30T03:04:43.175501+00:00,2026-07-30T03:04:43.175582+00:00,8.1e-05,normalized_title_and_timestamp_within_threshold,high,inferred,"Titles match after normalization and creation timestamps are within 2.0s of each other -- consistent with a Suno same-prompt A/B generation, but this is inferred, not confirmed by any explicit Suno sibling/variation identifier."
SIB-005,REND-020,REND-021,I Keep My Circle Tight,I Keep My Circle tight,2026-08-04T04:24:10.622430+00:00,2026-08-04T04:24:10.622516+00:00,8.6e-05,normalized_title_and_timestamp_within_threshold,high,inferred,"Titles match after normalization and creation timestamps are within 2.0s of each other -- consistent with a Suno same-prompt A/B generation, but this is inferred, not confirmed by any explicit Suno sibling/variation identifier."
SIB-006,REND-023,REND-024,Circle Stays Tight,Circle Stays Tight,2026-08-04T13:10:30.380196+00:00,2026-08-04T13:10:30.380278+00:00,8.2e-05,normalized_title_and_timestamp_within_threshold,high,inferred,"Titles match after normalization and creation timestamps are within 2.0s of each other -- consistent with a Suno same-prompt A/B generation, but this is inferred, not confirmed by any explicit Suno sibling/variation identifier."
SIB-007,REND-029,REND-030,Circle Stays Tight (All The Way Up Remix),Circle Stays Tight (All The Way Up Remix),2026-08-06T19:06:56.285884+00:00,2026-08-06T19:06:56.285965+00:00,8.1e-05,normalized_title_and_timestamp_within_threshold,high,inferred,"Titles match after normalization and creation timestamps are within 2.0s of each other -- consistent with a Suno same-prompt A/B generation, but this is inferred, not confirmed by any explicit Suno sibling/variation identifier."
SIB-008,REND-031,REND-032,Golden string cypher,Golden string cypher,2026-08-06T21:08:04.310817+00:00,2026-08-06T21:08:04.310899+00:00,8.2e-05,normalized_title_and_timestamp_within_threshold,high,inferred,"Titles match after normalization and creation timestamps are within 2.0s of each other -- consistent with a Suno same-prompt A/B generation, but this is inferred, not confirmed by any explicit Suno sibling/variation identifier."
